,underlying,triple,years,start,gap,P/L
164,DIA,UDOW,10,2013-10-25,-66.12482523169751,-106.92834060947098
165,DIA,UDOW,12,2011-12-04,-287.5413212259539,-230.83478666114752
166,DIA,UDOW,9,2011-10-15,-248.6197009515978,-382.1714795514458
167,DIA,UDOW,8,2017-06-15,42.40996223055163,320.7637445011312
168,DIA,UDOW,7,2010-12-06,-272.0069632484625,-460.9114372647264
169,DIA,UDOW,11,2011-07-29,-299.6601444408086,-483.7180010345769
170,DIA,UDOW,6,2015-04-30,-55.580626392448835,-126.5926117361821
171,DIA,UDOW,12,2010-03-19,-646.2389154176519,-642.86203045812
172,DIA,UDOW,10,2010-12-19,-310.9970840249083,-449.81833092254374
173,DIA,UDOW,11,2013-09-15,-66.05382933313183,84.84473227675062
174,DIA,UDOW,13,2012-01-26,-243.5236972357461,95.88412968622379
175,XBI,LABU,7,2017-06-11,8.271810812531786,714.2854568372015
176,XBI,LABU,8,2017-05-23,5.1648678722547645,890.4902703448256
177,XBI,LABU,8,2017-01-25,11.600660738830959,936.9641178564846
178,XBI,LABU,6,2016-08-28,9.399557244688989,515.0245502515546
179,XBI,LABU,7,2017-06-21,5.9091635135114835,660.3209706222901
180,XBI,LABU,9,2015-10-24,6.999227541823862,868.9606811458286
181,XBI,LABU,7,2017-10-22,6.355794359556298,646.2584044052901
182,XBI,LABU,6,2017-01-08,7.66637611988892,533.9371984853999
183,XBI,LABU,6,2016-01-18,26.991561257957628,531.6127717667127
184,XBI,LABU,8,2017-05-03,5.940978433992642,877.1411722887024
185,XBI,LABU,6,2018-04-22,3.607860543188009,527.1300300129667
186,XBI,LABU,8,2017-01-17,9.705977183687278,928.2841975421894
187,XBI,LABU,8,2016-08-21,12.859023132526044,858.4088946913403
188,XBI,LABU,6,2018-09-11,4.661046008326138,507.1990535183195
189,XBI,LABU,6,2017-04-14,6.097063876365295,566.8608853037896
190,XBI,LABU,9,2016-01-31,15.432270414031763,1178.5803400094655
191,XBI,LABU,7,2015-08-09,3.4792156278562363,414.1258789816635
192,XBI,LABU,7,2017-03-07,11.04712279660912,684.92633485739
193,XBI,LABU,9,2016-05-20,8.707633607783192,1168.5231803726276
194,XBI,LABU,6,2018-05-15,4.154919459801687,507.7916131066952
195,XBI,LABU,8,2017-03-05,6.712896036411798,852.4504129013344
196,XBI,LABU,7,2016-12-28,12.505729601580445,752.0226847028144
197,XBI,LABU,7,2018-03-25,3.9777429177909056,643.5750009607239
198,XBI,LABU,8,2015-08-23,3.103690514517055,653.271558279599
199,XBI,LABU,8,2017-05-02,5.640968212132138,873.9586783808287
200,XBI,LABU,9,2015-11-07,6.744523065432948,814.6617571216882
201,XBI,LABU,9,2015-07-07,2.3991835267491495,650.7343576839414
202,XBI,LABU,8,2016-10-08,10.596552238772732,847.4778397787828
203,XBI,LABU,6,2017-04-25,5.860869991908034,540.1974837150763
204,XBI,LABU,7,2016-10-10,4.497773313724541,654.0136527713548
205,XBI,LABU,7,2018-02-18,4.310570845522446,633.070428542875
206,XBI,LABU,9,2015-07-27,3.2876320155818743,658.1159070099457
