,SPY_Close,SPY_per_change,SPY_cumulative,SPXL_Close,SPXL_per_change,SPXL_cumulative,ideal_per_change,ideal_cumulative,shares_under,shares_trip,portfolio_SPY_long,portfolio_SPXL_short,portfolio_total,beta_exposure
2017-08-14,246.54,0.01,1.0,35.91,0.03,1.01,0.03,1.01,12.21,-28.03,3010.75,-1006.45,2004.3,-8.59
2017-08-15,246.51,-0.0,1.0,35.91,0.0,1.01,-0.0,1.01,12.21,-28.03,3010.38,-1006.45,2003.93,-8.96
2017-08-16,246.94,0.0,1.01,36.09,0.01,1.01,0.01,1.01,12.21,-28.03,3015.63,-1011.49,2004.14,-18.84
2017-08-17,243.09,-0.02,0.99,34.4,-0.05,0.96,-0.05,0.97,12.21,-28.03,2968.62,-964.13,2004.49,76.24
2017-08-18,242.71,-0.0,0.99,34.23,-0.0,0.96,-0.0,0.96,12.21,-28.03,2963.97,-959.36,2004.61,85.89
2017-08-21,242.9,0.0,0.99,34.33,0.0,0.96,0.0,0.96,12.21,-28.03,2966.29,-962.16,2004.13,79.8
2017-08-22,245.44,0.01,1.0,35.34,0.03,0.99,0.03,1.0,12.21,-28.03,2997.31,-990.47,2006.84,25.9
2017-08-23,244.56,-0.0,1.0,34.99,-0.01,0.98,-0.01,0.98,12.21,-28.03,2986.57,-980.66,2005.91,44.58
2017-08-24,243.99,-0.0,0.99,34.73,-0.01,0.97,-0.01,0.98,12.21,-28.03,2979.61,-973.37,2006.23,59.48
2017-08-25,244.56,0.0,1.0,34.94,0.01,0.98,0.01,0.98,12.21,-28.03,2986.57,-979.26,2007.31,48.79
2017-08-28,244.57,0.0,1.0,34.99,0.0,0.98,0.0,0.98,12.21,-28.03,2986.69,-980.66,2006.03,44.7
2017-08-29,244.85,0.0,1.0,35.06,0.0,0.98,0.0,0.99,12.21,-28.03,2990.11,-982.62,2007.48,42.24
2017-08-30,246.01,0.0,1.0,35.6,0.02,1.0,0.01,1.0,12.21,-28.03,3004.27,-997.76,2006.52,11.0
2017-08-31,247.49,0.01,1.01,36.2,0.02,1.01,0.02,1.02,12.21,-28.03,3022.35,-1014.57,2007.77,-21.37
2017-09-01,247.84,0.0,1.01,36.39,0.01,1.02,0.0,1.02,12.21,-28.03,3026.62,-1019.9,2006.72,-33.08
2017-09-05,246.06,-0.01,1.0,35.6,-0.02,1.0,-0.02,1.0,12.21,-28.03,3004.88,-997.76,2007.13,11.61
2017-09-06,246.9,0.0,1.01,35.92,0.01,1.01,0.01,1.01,12.21,-28.03,3015.14,-1006.73,2008.42,-5.04
2017-09-07,246.87,-0.0,1.0,35.93,0.0,1.01,-0.0,1.01,12.21,-28.03,3014.78,-1007.01,2007.77,-6.24
2017-09-08,246.58,-0.0,1.0,35.76,-0.0,1.0,-0.0,1.01,12.21,-28.03,3011.24,-1002.24,2008.99,4.51
2017-09-11,249.21,0.01,1.01,36.88,0.03,1.03,0.03,1.04,12.21,-28.03,3043.35,-1033.63,2009.72,-57.54
2017-09-12,250.05,0.0,1.02,37.27,0.01,1.04,0.01,1.05,12.21,-28.03,3053.61,-1044.56,2009.05,-80.08
2017-09-13,250.17,0.0,1.02,37.34,0.0,1.05,0.0,1.05,12.21,-28.03,3055.08,-1046.52,2008.55,-84.5
2017-09-14,250.09,-0.0,1.02,37.3,-0.0,1.05,-0.0,1.05,12.21,-28.03,3054.1,-1045.4,2008.7,-82.11
2017-09-15,249.19,-0.0,1.01,37.42,0.0,1.05,-0.01,1.04,12.21,-28.03,3043.11,-1048.77,1994.34,-103.19
2017-09-18,249.72,0.0,1.02,37.64,0.01,1.05,0.01,1.05,12.21,-28.03,3049.58,-1054.93,1994.65,-115.22
2017-09-19,249.97,0.0,1.02,37.75,0.0,1.06,0.0,1.05,12.21,-28.03,3052.63,-1058.02,1994.62,-121.41
2017-09-20,250.06,0.0,1.02,37.83,0.0,1.06,0.0,1.05,12.21,-28.03,3053.73,-1060.26,1993.47,-127.04
2017-09-21,249.39,-0.0,1.02,37.51,-0.01,1.05,-0.01,1.04,12.21,-28.03,3045.55,-1051.29,1994.26,-108.32
2017-09-22,249.44,0.0,1.02,37.51,0.0,1.05,0.0,1.04,12.21,-28.03,3046.16,-1051.29,1994.87,-107.71
2017-09-25,248.93,-0.0,1.01,37.3,-0.01,1.05,-0.01,1.04,12.21,-28.03,3039.93,-1045.4,1994.53,-96.28
2017-09-26,249.08,0.0,1.01,37.35,0.0,1.05,0.0,1.04,12.21,-28.03,3041.77,-1046.8,1994.96,-98.65
2017-09-27,250.05,0.0,1.02,37.74,0.01,1.06,0.01,1.05,12.21,-28.03,3053.61,-1057.74,1995.88,-119.6
2017-09-28,250.35,0.0,1.02,37.88,0.0,1.06,0.0,1.06,12.21,-28.03,3057.27,-1061.66,1995.62,-127.7
2017-09-29,251.23,0.0,1.02,38.23,0.01,1.07,0.01,1.07,12.21,-28.03,3068.02,-1071.47,1996.55,-146.39
2017-10-02,252.32,0.0,1.03,38.76,0.01,1.09,0.01,1.08,12.56,-27.67,3170.15,-1072.68,2097.47,-47.89
2017-10-03,252.86,0.0,1.03,39.02,0.01,1.09,0.01,1.09,12.56,-27.67,3176.93,-1079.87,2097.06,-62.69
2017-10-04,253.16,0.0,1.03,39.13,0.0,1.1,0.0,1.09,12.56,-27.67,3180.7,-1082.92,2097.79,-68.05
2017-10-05,254.66,0.01,1.04,39.82,0.02,1.12,0.02,1.11,12.56,-27.67,3199.55,-1102.01,2097.54,-106.49
2017-10-06,254.37,-0.0,1.04,39.69,-0.0,1.11,-0.0,1.11,12.56,-27.67,3195.91,-1098.42,2097.49,-99.34
2017-10-09,253.95,-0.0,1.03,39.52,-0.0,1.11,-0.0,1.1,12.56,-27.67,3190.63,-1093.71,2096.92,-90.51
2017-10-10,254.62,0.0,1.04,39.8,0.01,1.12,0.01,1.11,12.56,-27.67,3199.05,-1101.46,2097.59,-105.34
2017-10-11,255.02,0.0,1.04,39.99,0.0,1.12,0.0,1.11,12.56,-27.67,3204.07,-1106.72,2097.35,-116.08
