,underlying,triple,years,start,gap,P/L
136,QQQ,TQQQ,14,2010-03-23,2110.725107665534,1820.4636455848486
137,QQQ,TQQQ,7,2016-10-27,169.2442636885529,648.5392783075886
138,QQQ,TQQQ,11,2011-02-11,-75.22341531080019,306.85791084509583
139,QQQ,TQQQ,9,2011-02-02,-102.0914636764278,109.78038950717837
140,DIA,UDOW,12,2011-07-18,-262.57456853958115,-329.4905586698874
141,DIA,UDOW,10,2011-07-21,-319.15623836695397,-409.5351475347147
142,DIA,UDOW,10,2011-08-20,-535.29491240739,-464.70127035834594
143,DIA,UDOW,9,2015-04-08,-27.49292026055093,42.04719584116265
144,DIA,UDOW,8,2013-08-19,-142.46185028280354,-234.20689776034305
145,DIA,UDOW,9,2016-08-01,59.65685082548822,354.7155849442165
146,DIA,UDOW,8,2010-11-07,-303.90924824254284,-463.8468448863964
147,DIA,UDOW,12,2011-02-22,-289.12949462701533,-448.1888958765053
148,DIA,UDOW,7,2017-08-07,17.992715167625846,175.85793760893694
149,DIA,UDOW,12,2011-08-20,-383.8121129344788,-353.64994976918933
150,DIA,UDOW,8,2015-11-18,-24.207723895693277,-5.710732720365968
151,DIA,UDOW,9,2012-12-04,-266.2608530279317,-354.25431393885447
152,DIA,UDOW,13,2011-02-16,-327.49805225888895,-206.32947795092332
153,DIA,UDOW,10,2014-12-26,-7.806712302948199,165.79557326260738
154,DIA,UDOW,8,2012-06-18,-114.54617156581344,-255.16612537915717
155,DIA,UDOW,10,2013-02-12,-158.49513611737473,-286.80470408241354
156,DIA,UDOW,7,2014-11-28,-70.3388282948116,-177.9223189595682
157,DIA,UDOW,14,2010-03-06,-587.4572520797301,-296.22408732051645
158,DIA,UDOW,8,2010-11-08,-321.210873065554,-458.49772522609146
159,DIA,UDOW,13,2010-09-14,-465.92868417515183,-396.5664603233072
160,DIA,UDOW,11,2010-02-15,-547.1951915878687,-553.4790856989521
161,DIA,UDOW,9,2014-07-21,-56.68951428999122,-106.04623309085491
162,DIA,UDOW,13,2011-07-23,-271.77559034249043,-77.53053311840085
163,DIA,UDOW,8,2012-09-04,-136.09740459243648,-267.5212312232625
164,DIA,UDOW,8,2013-04-03,-142.17275403424685,-247.96675017414327
165,DIA,UDOW,14,2010-03-05,-604.404843151045,-296.1682148630216
166,DIA,UDOW,13,2011-02-11,-332.18736271162936,-219.42970506065012
167,DIA,UDOW,6,2018-02-07,5.820686401281847,89.99355372064588
168,DIA,UDOW,7,2010-06-08,-280.462693120777,-536.4237725980265
169,DIA,UDOW,14,2011-02-03,-352.3044123835898,54.812142008820956
170,DIA,UDOW,9,2014-08-09,-61.76121438936315,-104.51389639275294
171,DIA,UDOW,10,2011-04-27,-313.40697443111037,-403.1111654711294
172,DIA,UDOW,6,2012-12-02,-144.7285496959928,-290.3323813450543
173,DIA,UDOW,7,2011-08-22,-329.53412144133006,-442.348616180554
174,DIA,UDOW,10,2013-03-23,-113.485140869146,-258.4200471488816
